n=29 p=19 N= 1 v=1 q=551 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p=23 N= 1 v=1 q=667 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p=31 N= 1 v=1 q=899 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=31 p= 5 N= 1 v=1 q=155 m=15 d=15 t=5 delta=3 p|n-1=True | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.0s]
n=31 p= 5 N= 3 v=1 q=155 m=46 d=15 t=5 delta=3 p|n-1=True | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.1s]
n=31 p= 5 N= 7 v=2 q=775 m=108 d=15 t=5 delta=3 p|n-1=True | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.1s]
n=31 p= 7 N= 1 v=1 q=217 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.0s]
n=31 p=11 N= 1 v=1 q=341 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.0s]
n=31 p=13 N= 1 v=1 q=403 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.0s]
n=31 p=17 N= 1 v=1 q=527 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.1s]
n=31 p=19 N= 1 v=1 q=589 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.0s]
n=31 p=23 N= 1 v=1 q=713 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.0s]
n=31 p=29 N= 1 v=1 q=899 m=15 d=15 t=5 delta=3 p|n-1=False | W=[1, 12, 15] | d-W1=3 pred=3 W2full=True OK  [0.1s]
n=37 p= 3 N= 1 v=2 q=333 m=18 d=18 t=36 delta=0 p|n-1=True | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p= 3 N= 5 v=2 q=333 m=92 d=18 t=36 delta=0 p|n-1=True | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.2s]
n=37 p= 3 N= 7 v=2 q=333 m=129 d=18 t=36 delta=0 p|n-1=True | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p= 5 N= 1 v=1 q=185 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p= 7 N= 1 v=1 q=259 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p=11 N= 1 v=1 q=407 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p=13 N= 1 v=1 q=481 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p=17 N= 1 v=1 q=629 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=37 p=19 N= 1 v=1 q=703 m=18 d=18 t=36 delta=0 p|n-1=False | W=[1, 18, 18] | d-W1=0 pred=0 W2full=True OK  [0.1s]
