p=3 a=3 n= 5 M=1 v=4 q=405 m=67 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.0s]
p=3 a=3 n= 5 M=5 v=5 q=1215 m=337 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.2s]
p=3 a=3 n= 7 M=1 v=4 q=567 m=94 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.1s]
p=3 a=3 n= 7 M=5 v=5 q=1701 m=472 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 2] | stair OK | W_P=2 rank(m'=17)=2 OK [0.4s]
p=3 a=3 n=11 M=1 v=4 q=891 m=148 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.3s]
p=3 a=3 n=11 M=5 v=5 q=2673 m=742 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | stair OK | W_P=5 rank(m'=27)=5 OK [1.5s]
p=3 a=3 n=13 M=1 v=4 q=1053 m=175 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.4s]
p=3 a=3 n=13 M=5 v=5 q=3159 m=877 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 6] | stair OK | W_P=6 rank(m'=32)=6 OK [2.5s]
p=5 a=1 n= 7 M=1 v=2 q=175 m=17 d=3 | W[0..P]=[1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.0s]
p=5 a=1 n= 7 M=1 v=3 q=875 m=17 d=3 | W[0..P]=[1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.0s]
p=5 a=1 n= 7 M=3 v=2 q=175 m=52 d=3 | W[0..P]=[1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=10)=2 OK [0.0s]
p=5 a=1 n= 7 M=3 v=3 q=875 m=52 d=3 | W[0..P]=[1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=10)=2 OK [0.0s]
p=5 a=1 n= 7 M=7 v=3 q=875 m=122 d=3 | W[0..P]=[1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=24)=2 OK [0.0s]
p=5 a=1 n= 7 M=7 v=4 q=4375 m=122 d=3 | W[0..P]=[1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=24)=2 OK [0.1s]
p=5 a=1 n= 9 M=1 v=2 q=225 m=22 d=3 | W[0..P]=[1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=4)=3 OK [0.0s]
p=5 a=1 n= 9 M=1 v=3 q=1125 m=22 d=3 | W[0..P]=[1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=4)=3 OK [0.0s]
p=5 a=1 n= 9 M=3 v=2 q=225 m=67 d=3 | W[0..P]=[1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=13)=3 OK [0.0s]
p=5 a=1 n= 9 M=3 v=3 q=1125 m=67 d=3 | W[0..P]=[1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=13)=3 OK [0.0s]
