p=5 a=2 n=19 M= 1 v=3 q=2375 m=237 d=9 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_9(95))=9 rank=9 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 1.5s
p=7 a=1 n=29 M= 5 v=2 q=1421 m=507 d=14 | W=[1, 0, 0, 0, 0, 0, 1, 14] | ladder OK | W_P=14 W1(A_72(203))=14 rank=14 OK | dB[P]=16 1+a+W1=16 OK | m^2=0 True | 1.9s
p=5 a=2 n= 9 M= 7 v=4 q=5625 m=787 d=3 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3] | ladder OK | W_P=3 W1(A_31(225))=3 rank=3 OK | dB[P]=6 1+a+W1=6 OK | m^2=0 True | 2.1s
p=3 a=3 n=19 M= 1 v=4 q=1539 m=256 d=9 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 9] | ladder OK | W_P=9 W1(A_9(57))=9 rank=9 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 1.9s
p=5 a=1 n=29 M=11 v=3 q=3625 m=797 d=14 | W=[1, 0, 0, 0, 1, 14] | ladder OK | W_P=14 W1(A_159(725))=14 rank=14 OK | dB[P]=16 1+a+W1=16 OK | m^2=0 True | 2.3s
p=11 a=2 n= 5 M= 1 v=3 q=6655 m=302 d=2 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2] | ladder OK | W_P=2 W1(A_2(55))=2 rank=2 OK | dB[P]=5 1+a+W1=5 OK | m^2=0 True | 2.2s
p=5 a=2 n=13 M= 3 v=3 q=1625 m=487 d=6 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 6] | ladder OK | W_P=6 W1(A_19(65))=6 rank=6 OK | dB[P]=9 1+a+W1=9 OK | m^2=0 True | 2.1s
p=7 a=1 n=23 M=11 v=3 q=7889 m=885 d=11 | W=[1, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_126(1127))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 2.6s
p=5 a=1 n=29 M=13 v=3 q=3625 m=942 d=14 | W=[1, 0, 0, 0, 1, 14] | ladder OK | W_P=14 W1(A_188(725))=14 rank=14 OK | dB[P]=16 1+a+W1=16 OK | m^2=0 True | 3.0s
p=11 a=1 n=29 M= 3 v=2 q=3509 m=478 d=14 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14] | ladder OK | W_P=14 W1(A_43(319))=14 rank=14 OK | dB[P]=16 1+a+W1=16 OK | m^2=0 True | 2.7s
